title,artist
"Young, Wild & Free",Snoop Dogg
Apparently,J. Cole
The Feeling,Justin Bieber
Took His Time,Lil Wayne
Tom Sawyer,Rush
Count On Me (Intro),Nav
What You Never Knew,Ellie Nelson
A$Ap Forever,A$Ap Rocky
Potion,Calvin Harris
The Light,Brockhampton
Where You Belong,The Weeknd
Come In With The Rain (Taylor’S Version),Taylor Swift
Money Problems / Benz Truck,Bryson Tiller
1 Scale,Young Dolph
Bad Things,Machine Gun Kelly
Moral Of The Story,Ashe
Dunno,Mac Miller
White Christmas (Duet With Shania Twain),Michael Bublé
Me And My Broken Heart,Rixton
Screw Juice,Juice Wrld
Sober,Childish Gambino
Slide Away,Miley Cyrus
Santa Claus Is Coming To Town,The Jackson 5
Pull Up N Wreck (& Metro Boomin),Big Sean
Outlet,Desiigner
Wolves,Big Sean
Face 2 Face,Juice Wrld
Wait For It,Usher
Looking For A Star,Xxxtentacion
Calling All The Monsters,China Anne Mcclain
Hark! The Herald Angels Sing/It Came Upon A Midnight Clear  Remastered,Bing Crosby
Follow God,Kanye West
Stupid,Ashnikko
I Wonder,Kanye West
Dear Today,Luke Combs
Dear Sense,Louis The Child
Supermarket Flowers,Ed Sheeran
Beer Don’T,Morgan Wallen
Heather,Conan Gray
Desperado  Eagles 2013 Remaster,Eagles
September,"Earth, Wind & Fire"
Lose My Mind,Brett Eldredge
Wedding,Mac Miller
What The Price,Migos
Nobody Cares,Léon
Bad To You,Ariana Grande
182  Los Angeles,Blink
Stay,Kygo
I'M Still Here,Sia
The Blinding Feat. Travis Scott,Jay Electronica
More Than That,Lauren Jauregui
When You'Re Ready,Shawn Mendes
Shake It,Kay Flock
Huncho Dreams,Quavo
Burning,Maggie Rogers
Too Deep,Kehlani
Money In The Way,2 Chainz
War,King Von
I Need It,A Boogie Wit Da Hoodie
Get Outta My Head (Ft. Xxxtentacion),Lil Wayne
Feelin' Peachy,Kodak Black
Too Hotty,Quality Control
The Man Who Sold The World  1999 Remastered Version,David Bowie
Hope  Pandora'S Box,J
Winter Wonderland,Bing Crosby
If You Leave Me Now,Charlie Puth
Buckhead,$Uicideboy$
American Dream,Mkto
White Christmas,Amy Grant
Sunshine,Flight Facilities
'Til You Can'T,Cody Johnson
My Enemy,Chvrches
Miss You,James Hersey
Just Happened,Nav
Marie  Our Song,Anne
Who Want The Smoke?,Lil Yachty
If I'M Lucky,Jason Derulo
