title,artist
Pretty Little Fears,6Lack
Riot,Lil Skies
Jumped Out The Window,Young Thug
Really Love,D'Angelo
Leray,Trippie Redd
If You Know You Know,Pusha T
Not Above Love,Alunageorge
Warning,Morgan Wallen
Transportin',Kodak Black
Perfume,Lovejoy
Chandelier,Sia
Kick It,Lil Nas X
Hurt Feelings,Mac Miller
Stargirl Interlude,The Weeknd
Mother I Sober,Kendrick Lamar
Taki Taki,Dj Snake
Born Again,Rihanna
Nobody Else But You,Trey Songz
Trademark Usa,Baby Keem
Super Freak,Rick James
Hear Me Calling,Juice Wrld
Halloween Theme  Main Title,John Carpenter
Miss Americana & The Heartbreak Prince,Taylor Swift
Night'S On Fire,David Nail
Die In California,Machine Gun Kelly
Face To Face,Rex Orange County
Rags2Riches,Rod Wave
Dummy,6Ix9Ine
Flex,Lil Yachty
Everything That'S Missing,Big Sean
Who You Love,John Mayer
7 Minutes,Dean Lewis
Stop The Rain,Ed Sheeran
The Right Song,Tiësto
It Was A Good Day,Ice Cube
Fearless (Taylor’S Version),Taylor Swift
Hey Angel,One Direction
Told You So,Paramore
Stop Playin With Me,Lil Wayne
Flux,Ellie Goulding
Bop,Tyga
Cry Baby,The Neighbourhood
Suited Panamera,Youngboy Never Broke Again
Fml,Kanye West
Heaven In Hiding,Halsey
Thought Contagion,Muse
Fuck Donald Trump,Nipsey Hussle
Hold That Heat,Southside
Hasta La Muerte,Eslabon Armado
Aint Goin Back,Russ
Do Re Mi,Blackbear
What Do You Love,Seeb
Stayin' Alive  2007 Remastered Version Saturday Night Fever,Bee Gees
Keep The Family Close,Drake
The Half,Dj Snake
Goldmine Junkie,Big Grams
Golden,Travie Mccoy
Like I Can,Sam Smith
Put On A Smile,Bruno Mars
Joy To The World  1999 Remastered,Nat King Cole
Ransom,Lil Tecca
Benz Truck  Гелик,Lil Peep
You Broke Up With Me,Walker Hayes
Blahblahblah Demo,Joji
Fireball,Pitbull
Ayo,Lady Gaga
Tunnel Vision (Outro),Pop Smoke
Bells In Santa Fe,Halsey
Like A Wrecking Ball,Eric Church
The Greatest,Rod Wave
Sleep Deprived,Dreamville
Want To Want Me,Jason Derulo
Pray 4 Love,Travis Scott
Thru These Tears,Lany
Hot In Herre,Nelly
Starman  2012 Remastered Version,David Bowie
Quarantine Clean,Turbo
Genius  Lil Wayne Remix,Sia
Bad Business,21 Savage
Throw It Away,Trippie Redd
Race My Mind,Drake
Yessirskiii,Lil Uzi Vert
Okra,"Tyler, The Creator"
Dunno  Recorded At Spotify Studios Nyc,Mac Miller
Crisis,Rich Brian
Sneakin’,Drake
