danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.874,0.623,5,-5.182,1,0.172,0.05,0.0,0.315,0.332,125.986,audio_features,4L8SgjYQ9IqwxL9b3moaTK,spotify:track:4L8SgjYQ9IqwxL9b3moaTK,https://api.spotify.com/v1/tracks/4L8SgjYQ9IqwxL9b3moaTK,https://api.spotify.com/v1/audio-analysis/4L8SgjYQ9IqwxL9b3moaTK,137826,4
0.534,0.0247,8,-21.58,1,0.0362,0.987,0.00136,0.096,0.214,68.366,audio_features,42EWlWPab7ronmotBC0LtJ,spotify:track:42EWlWPab7ronmotBC0LtJ,https://api.spotify.com/v1/tracks/42EWlWPab7ronmotBC0LtJ,https://api.spotify.com/v1/audio-analysis/42EWlWPab7ronmotBC0LtJ,186640,4
0.42,0.901,7,-3.772,1,0.0607,0.00829,0.0151,0.383,0.339,162.574,audio_features,5M4wOePejVrKVPJ5NZF3U4,spotify:track:5M4wOePejVrKVPJ5NZF3U4,https://api.spotify.com/v1/tracks/5M4wOePejVrKVPJ5NZF3U4,https://api.spotify.com/v1/audio-analysis/5M4wOePejVrKVPJ5NZF3U4,141990,4
0.553,0.994,11,-4.388,0,0.202,0.000345,0.815,0.227,0.368,146.011,audio_features,41PhHl3FLzd8q4qboB1eWf,spotify:track:41PhHl3FLzd8q4qboB1eWf,https://api.spotify.com/v1/tracks/41PhHl3FLzd8q4qboB1eWf,https://api.spotify.com/v1/audio-analysis/41PhHl3FLzd8q4qboB1eWf,454287,4
0.522,0.866,8,-4.868,0,0.173,0.022,0.0,0.0919,0.333,156.099,audio_features,7kacYLL6g1KKUWhqqSf7VF,spotify:track:7kacYLL6g1KKUWhqqSf7VF,https://api.spotify.com/v1/tracks/7kacYLL6g1KKUWhqqSf7VF,https://api.spotify.com/v1/audio-analysis/7kacYLL6g1KKUWhqqSf7VF,219013,4
0.686,0.529,0,-6.841,1,0.0377,0.0812,1.1e-05,0.144,0.345,91.991,audio_features,6STFK268EWdTPZeRNlAs1n,spotify:track:6STFK268EWdTPZeRNlAs1n,https://api.spotify.com/v1/tracks/6STFK268EWdTPZeRNlAs1n,https://api.spotify.com/v1/audio-analysis/6STFK268EWdTPZeRNlAs1n,158436,4
0.245,0.475,8,-6.116,1,0.0371,0.311,0.0,0.113,0.161,65.895,audio_features,0VcRFRoWqQfXDjFNO6LBJO,spotify:track:0VcRFRoWqQfXDjFNO6LBJO,https://api.spotify.com/v1/tracks/0VcRFRoWqQfXDjFNO6LBJO,https://api.spotify.com/v1/audio-analysis/0VcRFRoWqQfXDjFNO6LBJO,240560,4
0.484,0.679,11,-5.711,0,0.0461,0.0201,0.0,0.137,0.271,89.831,audio_features,4cPNBuSkwOIwyQDMiHf22J,spotify:track:4cPNBuSkwOIwyQDMiHf22J,https://api.spotify.com/v1/tracks/4cPNBuSkwOIwyQDMiHf22J,https://api.spotify.com/v1/audio-analysis/4cPNBuSkwOIwyQDMiHf22J,199241,4
0.447,0.522,7,-8.508,0,0.0325,0.601,0.0345,0.149,0.382,138.782,audio_features,7fUC5ML18aWQpU88jSofQu,spotify:track:7fUC5ML18aWQpU88jSofQu,https://api.spotify.com/v1/tracks/7fUC5ML18aWQpU88jSofQu,https://api.spotify.com/v1/audio-analysis/7fUC5ML18aWQpU88jSofQu,239013,3
0.403,0.0438,6,-26.935,1,0.0547,0.994,0.894,0.108,0.158,73.255,audio_features,0HV1yvDd3Z5z3lV6mXWXW2,spotify:track:0HV1yvDd3Z5z3lV6mXWXW2,https://api.spotify.com/v1/tracks/0HV1yvDd3Z5z3lV6mXWXW2,https://api.spotify.com/v1/audio-analysis/0HV1yvDd3Z5z3lV6mXWXW2,191726,3
