danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.926,0.666,11,-5.314,1,0.244,0.0611,0.0,0.123,0.168,127.079,audio_features,0M9ydKzuF3oZTfYYPfaGX1,spotify:track:0M9ydKzuF3oZTfYYPfaGX1,https://api.spotify.com/v1/tracks/0M9ydKzuF3oZTfYYPfaGX1,https://api.spotify.com/v1/audio-analysis/0M9ydKzuF3oZTfYYPfaGX1,343150,4
0.434,0.151,0,-23.053,1,0.0514,0.993,0.936,0.11,0.14,170.023,audio_features,0zn1oYv6avs4pw4hfELmB7,spotify:track:0zn1oYv6avs4pw4hfELmB7,https://api.spotify.com/v1/tracks/0zn1oYv6avs4pw4hfELmB7,https://api.spotify.com/v1/audio-analysis/0zn1oYv6avs4pw4hfELmB7,218471,4
0.55,0.122,9,-20.54,1,0.0376,0.99,0.929,0.114,0.7,105.269,audio_features,63utakUAwjrSRsMG0DFRBH,spotify:track:63utakUAwjrSRsMG0DFRBH,https://api.spotify.com/v1/tracks/63utakUAwjrSRsMG0DFRBH,https://api.spotify.com/v1/audio-analysis/63utakUAwjrSRsMG0DFRBH,99747,4
0.735,0.58,1,-6.478,1,0.341,0.0372,0.0,0.153,0.253,139.065,audio_features,1m5HcIPX2T3wSoiHWhgwpA,spotify:track:1m5HcIPX2T3wSoiHWhgwpA,https://api.spotify.com/v1/tracks/1m5HcIPX2T3wSoiHWhgwpA,https://api.spotify.com/v1/audio-analysis/1m5HcIPX2T3wSoiHWhgwpA,139311,4
0.833,0.655,3,-6.089,0,0.0726,0.496,0.0,0.077,0.752,94.981,audio_features,2BtLL5NgbDjYv30vKdLK19,spotify:track:2BtLL5NgbDjYv30vKdLK19,https://api.spotify.com/v1/tracks/2BtLL5NgbDjYv30vKdLK19,https://api.spotify.com/v1/audio-analysis/2BtLL5NgbDjYv30vKdLK19,236973,4
0.397,0.257,5,-11.134,0,0.0499,0.79,0.00235,0.12,0.0382,115.783,audio_features,3Q33RhbyoFul9LdKKjticI,spotify:track:3Q33RhbyoFul9LdKKjticI,https://api.spotify.com/v1/tracks/3Q33RhbyoFul9LdKKjticI,https://api.spotify.com/v1/audio-analysis/3Q33RhbyoFul9LdKKjticI,136916,4
0.75,0.567,1,-8.812,1,0.428,0.0173,0.0,0.147,0.458,157.028,audio_features,1KauTvLzJb1rV7S6o9Eeql,spotify:track:1KauTvLzJb1rV7S6o9Eeql,https://api.spotify.com/v1/tracks/1KauTvLzJb1rV7S6o9Eeql,https://api.spotify.com/v1/audio-analysis/1KauTvLzJb1rV7S6o9Eeql,148288,4
0.832,0.589,2,-5.394,0,0.0541,0.396,6.62e-06,0.152,0.578,140.017,audio_features,45hgqXjx0fnip2DQvF23dx,spotify:track:45hgqXjx0fnip2DQvF23dx,https://api.spotify.com/v1/tracks/45hgqXjx0fnip2DQvF23dx,https://api.spotify.com/v1/audio-analysis/45hgqXjx0fnip2DQvF23dx,205759,4
0.411,0.523,9,-7.063,1,0.259,0.754,0.0,0.137,0.532,81.793,audio_features,3DkSirQyz93TaxZ0f0DloI,spotify:track:3DkSirQyz93TaxZ0f0DloI,https://api.spotify.com/v1/tracks/3DkSirQyz93TaxZ0f0DloI,https://api.spotify.com/v1/audio-analysis/3DkSirQyz93TaxZ0f0DloI,170393,4
0.86,0.16,2,-28.656,1,0.0772,0.996,0.952,0.112,0.903,114.998,audio_features,5m9sW9zAGdIwzY4Kyu0WdR,spotify:track:5m9sW9zAGdIwzY4Kyu0WdR,https://api.spotify.com/v1/tracks/5m9sW9zAGdIwzY4Kyu0WdR,https://api.spotify.com/v1/audio-analysis/5m9sW9zAGdIwzY4Kyu0WdR,108810,3
0.761,0.718,2,-3.629,1,0.363,0.0087,0.0,0.117,0.537,72.954,audio_features,6XmuO9aBU5Fnu7ejdLOiwe,spotify:track:6XmuO9aBU5Fnu7ejdLOiwe,https://api.spotify.com/v1/tracks/6XmuO9aBU5Fnu7ejdLOiwe,https://api.spotify.com/v1/audio-analysis/6XmuO9aBU5Fnu7ejdLOiwe,131976,4
