danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.572,0.519,2,-7.092,0,0.212,0.536,0.0,0.102,0.35,128.331,audio_features,48KXAIruJ07kJVCWOGohMV,spotify:track:48KXAIruJ07kJVCWOGohMV,https://api.spotify.com/v1/tracks/48KXAIruJ07kJVCWOGohMV,https://api.spotify.com/v1/audio-analysis/48KXAIruJ07kJVCWOGohMV,181860,4
0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026,audio_features,1bgKMxPQU7JIZEhNsM1vFs,spotify:track:1bgKMxPQU7JIZEhNsM1vFs,https://api.spotify.com/v1/tracks/1bgKMxPQU7JIZEhNsM1vFs,https://api.spotify.com/v1/audio-analysis/1bgKMxPQU7JIZEhNsM1vFs,142677,4
0.526,0.525,8,-11.112,1,0.0307,0.0889,0.824,0.0859,0.475,149.01,audio_features,4DejAPpe3y3GhVl1Ag4bTz,spotify:track:4DejAPpe3y3GhVl1Ag4bTz,https://api.spotify.com/v1/tracks/4DejAPpe3y3GhVl1Ag4bTz,https://api.spotify.com/v1/audio-analysis/4DejAPpe3y3GhVl1Ag4bTz,193335,4
0.608,0.746,5,-5.249,0,0.184,0.115,0.0087,0.427,0.277,117.072,audio_features,2Im64pIz6m0EJKdUe6eZ8r,spotify:track:2Im64pIz6m0EJKdUe6eZ8r,https://api.spotify.com/v1/tracks/2Im64pIz6m0EJKdUe6eZ8r,https://api.spotify.com/v1/audio-analysis/2Im64pIz6m0EJKdUe6eZ8r,256587,4
0.645,0.45,0,-7.178,0,0.0353,0.0868,0.207,0.585,0.326,123.063,audio_features,3tABM9Cgph2HpCOUcPwRWr,spotify:track:3tABM9Cgph2HpCOUcPwRWr,https://api.spotify.com/v1/tracks/3tABM9Cgph2HpCOUcPwRWr,https://api.spotify.com/v1/audio-analysis/3tABM9Cgph2HpCOUcPwRWr,240466,4
0.642,0.768,0,-3.674,1,0.0248,0.208,0.0,0.225,0.546,97.485,audio_features,7KDYKPhxFFRDBSbgcfLxUT,spotify:track:7KDYKPhxFFRDBSbgcfLxUT,https://api.spotify.com/v1/tracks/7KDYKPhxFFRDBSbgcfLxUT,https://api.spotify.com/v1/audio-analysis/7KDYKPhxFFRDBSbgcfLxUT,227815,3
0.711,0.722,2,-8.438,1,0.202,0.101,1.26e-05,0.628,0.398,120.058,audio_features,0XMl0fVTh3PyPlwyJTn33n,spotify:track:0XMl0fVTh3PyPlwyJTn33n,https://api.spotify.com/v1/tracks/0XMl0fVTh3PyPlwyJTn33n,https://api.spotify.com/v1/audio-analysis/0XMl0fVTh3PyPlwyJTn33n,166005,4
0.516,0.717,0,-7.977,1,0.0296,0.0157,0.944,0.211,0.588,99.998,audio_features,0Oi7zqvcemjjhP2GemAY0z,spotify:track:0Oi7zqvcemjjhP2GemAY0z,https://api.spotify.com/v1/tracks/0Oi7zqvcemjjhP2GemAY0z,https://api.spotify.com/v1/audio-analysis/0Oi7zqvcemjjhP2GemAY0z,207865,4
0.784,0.521,1,-5.701,1,0.0322,0.062,4.75e-06,0.0995,0.817,101.491,audio_features,5q3LwAHTqo9d3rET2EA9Nq,spotify:track:5q3LwAHTqo9d3rET2EA9Nq,https://api.spotify.com/v1/tracks/5q3LwAHTqo9d3rET2EA9Nq,https://api.spotify.com/v1/audio-analysis/5q3LwAHTqo9d3rET2EA9Nq,167662,4
0.857,0.715,11,-10.238,1,0.07,0.024,0.00019,0.239,0.699,119.622,audio_features,2NZyl6dEAndDxru3X23pp9,spotify:track:2NZyl6dEAndDxru3X23pp9,https://api.spotify.com/v1/tracks/2NZyl6dEAndDxru3X23pp9,https://api.spotify.com/v1/audio-analysis/2NZyl6dEAndDxru3X23pp9,283333,4
0.685,0.572,0,-5.685,0,0.147,0.11,0.0,0.183,0.275,117.336,audio_features,7LJZyNjN5U0LdYSBQ9hlLz,spotify:track:7LJZyNjN5U0LdYSBQ9hlLz,https://api.spotify.com/v1/tracks/7LJZyNjN5U0LdYSBQ9hlLz,https://api.spotify.com/v1/audio-analysis/7LJZyNjN5U0LdYSBQ9hlLz,188293,4
0.213,0.353,11,-10.635,0,0.0427,0.646,0.0,0.165,0.199,176.982,audio_features,1e6R9cHhvX53PmB6LOFvni,spotify:track:1e6R9cHhvX53PmB6LOFvni,https://api.spotify.com/v1/tracks/1e6R9cHhvX53PmB6LOFvni,https://api.spotify.com/v1/audio-analysis/1e6R9cHhvX53PmB6LOFvni,254897,5
0.895,0.874,4,-1.906,0,0.194,0.0172,5.83e-06,0.102,0.701,93.019,audio_features,3zZ2THLkGS76yPbOEHFKMR,spotify:track:3zZ2THLkGS76yPbOEHFKMR,https://api.spotify.com/v1/tracks/3zZ2THLkGS76yPbOEHFKMR,https://api.spotify.com/v1/audio-analysis/3zZ2THLkGS76yPbOEHFKMR,269453,4
0.541,0.844,11,-2.471,1,0.142,0.0309,0.0,0.689,0.604,165.931,audio_features,5KeI897tZgjezHKvxlaOaR,spotify:track:5KeI897tZgjezHKvxlaOaR,https://api.spotify.com/v1/tracks/5KeI897tZgjezHKvxlaOaR,https://api.spotify.com/v1/audio-analysis/5KeI897tZgjezHKvxlaOaR,137515,4
0.795,0.526,6,-9.086,0,0.204,0.067,2e-06,0.134,0.194,140.037,audio_features,74C8vEwsNT5OTg8VQOsoUD,spotify:track:74C8vEwsNT5OTg8VQOsoUD,https://api.spotify.com/v1/tracks/74C8vEwsNT5OTg8VQOsoUD,https://api.spotify.com/v1/audio-analysis/74C8vEwsNT5OTg8VQOsoUD,181393,4
0.779,0.642,8,-6.321,0,0.116,0.0383,0.0,0.2,0.388,82.363,audio_features,6ilmDtTR9yGrZCIOnMLNQy,spotify:track:6ilmDtTR9yGrZCIOnMLNQy,https://api.spotify.com/v1/tracks/6ilmDtTR9yGrZCIOnMLNQy,https://api.spotify.com/v1/audio-analysis/6ilmDtTR9yGrZCIOnMLNQy,153147,4
0.6,0.56,8,-6.311,1,0.0325,0.479,0.0,0.111,0.417,139.469,audio_features,1fmi1hOBtH8xfUiWz4LVtE,spotify:track:1fmi1hOBtH8xfUiWz4LVtE,https://api.spotify.com/v1/tracks/1fmi1hOBtH8xfUiWz4LVtE,https://api.spotify.com/v1/audio-analysis/1fmi1hOBtH8xfUiWz4LVtE,201493,4
0.547,0.938,2,-3.9,1,0.144,0.000308,0.0,0.313,0.541,138.031,audio_features,2gzbxB3kWvXNxVnC3YfAQa,spotify:track:2gzbxB3kWvXNxVnC3YfAQa,https://api.spotify.com/v1/tracks/2gzbxB3kWvXNxVnC3YfAQa,https://api.spotify.com/v1/audio-analysis/2gzbxB3kWvXNxVnC3YfAQa,217637,4
0.631,0.836,6,-3.092,0,0.0422,0.000292,1.93e-05,0.529,0.505,127.048,audio_features,0Ybg4STT8AkU6z3iKI5UGS,spotify:track:0Ybg4STT8AkU6z3iKI5UGS,https://api.spotify.com/v1/tracks/0Ybg4STT8AkU6z3iKI5UGS,https://api.spotify.com/v1/audio-analysis/0Ybg4STT8AkU6z3iKI5UGS,132127,4
0.523,0.26,1,-12.904,1,0.027,0.824,1.28e-05,0.138,0.164,95.354,audio_features,5V5eCLSxm7JWLj9vOcNLIw,spotify:track:5V5eCLSxm7JWLj9vOcNLIw,https://api.spotify.com/v1/tracks/5V5eCLSxm7JWLj9vOcNLIw,https://api.spotify.com/v1/audio-analysis/5V5eCLSxm7JWLj9vOcNLIw,192920,4
0.732,0.674,5,-5.036,0,0.0424,0.00325,0.0,0.108,0.332,124.957,audio_features,0I8lswmmV7otlaAbZbwfXY,spotify:track:0I8lswmmV7otlaAbZbwfXY,https://api.spotify.com/v1/tracks/0I8lswmmV7otlaAbZbwfXY,https://api.spotify.com/v1/audio-analysis/0I8lswmmV7otlaAbZbwfXY,138970,4
